CODIGO_DO_FUNDO;SETOR;PRECO_ATUAL;LIQUIDEZ_DIARIA;DIVIDENDO;DIVIDEND_YIELD;DY_(3M)_ACUMULADO;DY_(6M)_ACUMULADO;DY_(12M)_ACUMULADO;DY_(3M)_MEDIA;DY_(6M)_MEDIA;DY_(12M)_MEDIA;DY_ANO;VARIACAO_PRECO;RENTAB._PERIODO;RENTAB._ACUMULADA;PATRIMONIO_LIQ.;VPA;P/VPA;DY_PATRIMONIAL;VARIACAO_PATRIMONIAL;RENTAB._PATR._NO_PERIODO;RENTAB._PATR._ACUMULADA;VACANCIA_FISICA;VACANCIA_FINANCEIRA;QUANTIDADE_ATIVOS
BBPO11;Lajes Corporativas;90.85;15908;0.92;0.99;3.01;6.34;12.25;1.00;1.06;1.02;10.31;0.00;0.99;9.45;1596823411.70;100.30;0.91;0.92;0.11;1.03;14.72;0.00;0.00;64
RBLG11;Logística;98.50;21;0.88;0.89;2.74;5.50;10.84;0.91;0.92;0.90;7.31;0.00;0.89;16.59;64943404.61;101.44;0.97;0.87;-0.40;0.46;2.83;0.00;;1
BBIM11;Títulos e Val Mob;;;0.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;32188134.15;31.10;;1.45;-0.42;1.02;-29.61;;;0
BCIA11;Títulos e Val Mob;86.39;4478;0.76;0.83;2.47;5.13;9.88;0.82;0.86;0.82;8.34;0.00;0.83;15.16;398766701.50;107.22;0.81;0.71;-1.12;-0.42;10.10;;;0
CBOP11;Lajes Corporativas;56.39;328;0.49;0.87;2.55;5.82;13.82;0.85;0.97;1.15;8.89;0.00;0.87;-15.33;10759741.15;75.66;0.75;0.65;-0.54;0.11;-11.19;33.59;30.79;1
GESE11B;Outros;1520.00;300;13.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;91931349.49;1767.91;0.86;0.77;0.02;0.80;1.60;;;0
EURO11;Logística;228.01;307;1.83;0.81;2.27;4.68;9.68;0.76;0.78;0.81;8.03;0.00;0.81;21.78;120125755.03;312.88;0.73;0.58;0.11;0.69;6.02;0.00;;6
CXRI11;Híbrido;68.48;566;0.55;0.79;2.37;5.12;9.72;0.79;0.85;0.81;8.25;0.00;0.79;9.05;139445989.22;88.49;0.77;0.62;-1.25;-0.64;10.56;;;0
KNSC11;Títulos e Val Mob;85.25;40352;0.52;0.59;1.97;5.56;13.11;0.66;0.93;1.09;10.23;0.00;0.59;-1.42;1189926884.16;89.63;0.95;0.58;0.47;1.06;10.30;;;0
RBFF11;Títulos e Val Mob;54.00;4558;0.51;0.92;2.66;5.51;10.85;0.89;0.92;0.90;9.12;0.00;0.92;9.90;252391278.97;67.32;0.80;0.76;-0.80;-0.04;11.09;;;0
FIGS11;Shoppings;51.32;7711;0.38;0.70;2.01;4.34;8.38;0.67;0.72;0.70;7.10;0.00;0.70;5.80;28439163.45;99.79;0.51;0.38;0.18;0.56;3.98;13.70;;2
GGRC11;Logística;116.50;10832;1.08;0.88;2.47;5.00;9.67;0.82;0.83;0.81;8.20;0.00;0.88;14.01;967982208.71;124.77;0.93;0.87;-0.17;0.70;1.38;0.00;0.00;20
SDIL11;Logística;92.53;13336;0.79;0.83;2.43;4.99;10.11;0.81;0.83;0.84;8.39;0.00;0.83;19.71;630195155.94;98.54;0.94;0.80;-0.17;0.63;9.19;2.60;;5
PQAG11;Logística;54.85;96;0.44;0.81;2.31;4.49;8.53;0.77;0.75;0.71;7.25;0.00;0.81;3.69;801554848.10;57.29;0.96;0.77;-0.02;0.75;8.24;0.00;;1
VCJR11;Títulos e Val Mob;93.00;13623;0.25;0.27;1.20;5.34;13.46;0.40;0.89;1.12;10.38;0.00;0.27;5.21;1407639723.83;95.60;0.97;0.26;1.20;1.47;12.68;;;0
WPLZ11;Shoppings;79.48;10;0.50;0.63;1.91;3.55;6.20;0.64;0.59;0.52;5.13;0.00;0.63;17.37;10568856.59;102.93;0.77;0.49;0.03;0.52;4.02;11.00;;1
HGCR11;Títulos e Val Mob;102.38;22862;1.20;1.19;3.53;7.02;13.30;1.18;1.17;1.11;12.12;0.00;1.19;2.89;1493415204.57;101.82;1.01;1.18;-0.16;1.02;10.71;;;0
HGPO11;Lajes Corporativas;258.00;483;1.60;0.62;1.85;3.49;6.72;0.62;0.58;0.56;5.56;0.00;0.62;4.95;46965381.85;267.91;0.96;0.60;-0.05;0.54;4.81;4.99;2.72;2
HGRU11;Híbrido;122.00;26739;0.82;0.65;1.95;4.61;8.72;0.65;0.77;0.73;8.08;0.00;0.65;25.03;219485588.36;119.24;1.02;0.69;0.29;0.98;7.07;0.00;0.00;17
HSML11;Shoppings;85.27;31195;0.68;0.76;2.26;4.70;9.06;0.75;0.78;0.76;7.68;0.00;0.76;26.52;1539577351.43;97.56;0.87;0.70;-0.52;0.17;3.74;4.50;;6
EDFO11B;Lajes Corporativas;202.90;5;1.82;0.92;2.62;5.06;9.31;0.87;0.84;0.78;7.83;0.00;0.92;-0.43;4531743.18;192.02;1.06;0.92;-0.97;-0.06;6.02;7.10;;1
XPCI11;Outros;83.20;39325;0.67;0.77;2.78;6.27;12.97;0.93;1.05;1.08;10.95;0.00;0.77;-0.18;83181437.44;95.51;0.87;0.70;-1.59;-0.89;11.61;;;0
PORD11;Títulos e Val Mob;90.20;10297;0.90;0.95;3.29;7.80;15.70;1.10;1.30;1.31;14.58;0.00;0.95;16.29;365159647.16;97.94;0.92;1.12;-0.05;1.07;7.60;;;0
BLMO11;Lajes Corporativas;2000.00;40;26.02;0.13;0.45;0.70;0.00;0.15;0.12;0.00;0.86;0.00;0.13;-22.41;111755359.35;29432.54;0.68;0.11;-0.08;0.04;12.89;0.00;;1
MXRF11;Híbrido;10.10;548285;0.10;0.98;3.02;6.39;12.26;1.01;1.07;1.02;10.56;0.00;0.98;24.62;2305298861.59;10.20;0.99;1.03;0.58;1.61;4.89;;;0
KNCA11;Títulos e Val Mob;106.18;7806;1.45;1.33;3.98;7.61;0.00;1.33;1.27;0.00;10.83;0.00;1.33;9.90;827704658.59;102.19;1.04;1.42;0.07;1.49;11.27;;;0
KISU11;Títulos e Val Mob;8.30;123058;0.08;0.90;2.65;5.85;10.86;0.88;0.97;0.90;9.20;0.00;0.90;12.14;414610309.11;9.38;0.88;0.80;-0.19;0.60;7.15;;;0
SARE11;Híbrido;69.40;19179;0.64;0.83;2.49;5.29;10.66;0.83;0.88;0.89;8.73;0.00;0.83;16.29;902700885.02;97.75;0.71;0.65;-0.29;0.36;5.13;6.20;;3
CXCO11;Lajes Corporativas;74.24;1586;0.72;0.94;2.77;5.66;10.82;0.92;0.94;0.90;9.11;0.00;0.94;3.64;37914241.70;96.58;0.77;0.75;0.04;0.79;7.99;;;0
